mode, epoch, average loss, defender utility,
training,-1,0.182378777,-2.668520109,0
validating,-1,0.161695218,-2.292822778,0
testing,-1,0.190613371,-2.301420656,0
training,0,3.33847486,-4.821493449,0
validating,0,3.434811783,-4.784652042,0
testing,0,3.367268705,-4.853231335,0
training,1,3.137194695,-4.713236536,0
validating,1,2.523853111,-4.240972281,0
testing,1,2.512204695,-4.391045046,0
training,2,1.569805217,-4.891329578,0
validating,2,1.411159945,-6.375561523,0
testing,2,1.334093511,-6.300856256,0
training,3,1.218616038,-5.298016797,0
validating,3,1.257577014,-3.892104197,0
testing,3,1.212558079,-4.17642746,0
training,4,1.146590388,-4.777180522,0
validating,4,1.175553322,-4.355460501,0
testing,4,1.126017618,-4.694478941,0
training,5,1.0082451,-3.462998724,0
validating,5,0.97218293,-2.720029759,0
testing,5,0.937325335,-3.625967455,0
training,6,0.791849626,-3.016511534,0
validating,6,0.678256822,-2.500688374,0
testing,6,0.67245025,-3.577189243,0
training,7,0.585921539,-2.979755791,0
validating,7,0.499190652,-2.023955643,0
testing,7,0.512805933,-3.052706742,0
training,8,0.502951246,-3.052002716,0
validating,8,0.472842503,-2.004603088,0
testing,8,0.483517557,-3.159010601,0
training,9,0.472426226,-3.107759367,0
validating,9,0.422258115,-2.026479733,0
testing,9,0.446560544,-2.818731302,0
training,10,0.440210094,-2.936588017,0
validating,10,0.382943165,-2.058321357,0
testing,10,0.417900395,-2.738111913,0
training,11,0.421137896,-2.923468377,0
validating,11,0.358198714,-2.366643071,0
testing,11,0.402636075,-2.686456132,0
training,12,0.390685541,-2.885353175,0
validating,12,0.328354907,-2.597596991,0
testing,12,0.381682098,-2.622759485,0
training,13,0.381448291,-2.796166256,0
validating,13,0.303342259,-2.714752722,0
testing,13,0.365632015,-2.542608202,0
training,14,0.345742923,-2.866314224,0
validating,14,0.282723808,-2.880939841,0
testing,14,0.344191462,-2.440454674,0
training,15,0.323766054,-2.775903732,0
validating,15,0.285307443,-2.540457296,0
testing,15,0.339957815,-2.346303177,0
training,16,0.307003696,-2.848951252,0
validating,16,0.276473415,-2.550160313,0
testing,16,0.332092518,-2.348529136,0
training,17,0.29846828,-2.785483661,0
validating,17,0.242791128,-2.863133013,0
testing,17,0.301935816,-2.357511282,0
training,18,0.282134636,-2.757046766,0
validating,18,0.234290051,-2.855321622,0
testing,18,0.292448199,-2.376903111,0
training,19,0.270643764,-2.779116189,0
validating,19,0.242947781,-2.937905133,0
testing,19,0.30305779,-2.441311157,0
