mode, epoch, average loss, defender utility,
training,-1,0.182378777,-2.668520109,0
validating,-1,0.161695218,-2.292822778,0
testing,-1,0.190613371,-2.301420656,0
training,0,3.33847486,-4.821493449,0
validating,0,3.434811783,-4.784652042,0
testing,0,3.367268705,-4.853231335,0
training,1,3.144650466,-4.714833396,0
validating,1,2.568719816,-4.270121098,0
testing,1,2.555091667,-4.403949594,0
training,2,1.655563671,-4.403100879,0
validating,2,1.330396366,-6.357604313,0
testing,2,1.265026128,-6.12945056,0
training,3,1.386261732,-5.962667056,0
validating,3,2.18847506,-6.227203846,0
testing,3,2.067134738,-6.054214954,0
training,4,2.537044007,-5.96477856,0
validating,4,3.289356184,-5.456744862,0
testing,4,3.130544758,-5.477536392,0
training,5,2.72806204,-5.781520462,0
validating,5,3.055095673,-5.412776756,0
testing,5,2.930191696,-5.592840433,0
training,6,2.470514965,-5.711253725,0
validating,6,2.626679349,-5.517695236,0
testing,6,2.552557206,-6.064486265,0
training,7,2.109272691,-5.513249649,0
validating,7,2.186698461,-5.493514824,0
testing,7,2.162919986,-5.781835508,0
training,8,1.706191585,-4.919810047,0
validating,8,1.703459203,-5.650682163,0
testing,8,1.705878985,-5.770206547,0
training,9,1.365102144,-3.989585842,0
validating,9,1.29278692,-4.370159912,0
testing,9,1.308913386,-4.680849528,0
training,10,1.120620098,-3.551223919,0
validating,10,1.170982301,-4.151157665,0
testing,10,1.179765922,-4.684718335,0
training,11,0.931247651,-3.652628327,0
validating,11,0.933291566,-4.252331793,0
testing,11,0.922175127,-3.746950901,0
training,12,0.805172692,-3.211439722,0
validating,12,0.78280381,-2.745266771,0
testing,12,0.779490334,-3.635022438,0
training,13,0.739437237,-3.062643337,0
validating,13,0.713402426,-2.76093899,0
testing,13,0.727667302,-3.572869837,0
training,14,0.719417232,-2.923320258,0
validating,14,0.712459695,-2.759946764,0
testing,14,0.727995175,-3.567292726,0
training,15,0.721667291,-2.933440207,0
validating,15,0.702753627,-2.761262488,0
testing,15,0.717568606,-3.583228409,0
training,16,0.711644841,-2.915898248,0
validating,16,0.702425706,-2.754796767,0
testing,16,0.718116361,-3.578715062,0
training,17,0.714267199,-2.914144652,0
validating,17,0.701761854,-2.753558981,0
testing,17,0.718390197,-3.572560906,0
training,18,0.71043782,-2.910802918,0
validating,18,0.699034846,-2.752590954,0
testing,18,0.715775985,-3.575689065,0
training,19,0.710862905,-2.909656325,0
validating,19,0.707560527,-2.747133601,0
testing,19,0.727049619,-3.552321482,0
